PSC CODE,length,PRODUCT AND SERVICE CODE NAME,START DATE,END DATE,PRODUCT AND SERVICE CODE FULL NAME,PRODUCT AND SERVICE CODE EXCLUDES,PRODUCT AND SERVICE CODE NOTES,PRODUCT AND SERVICE CODE INCLUDES
9620,4,"MINERALS, NATURAL AND SYNTHETIC",1978-10-15,,"Minerals, Natural and Synthetic",Gravel (FSC 5610); Sand (FSC 5610); Abrasives (FSC 5350); Refractory Clays (FSC 9350).,Only bulk material will be identified in this class.  Minerals are naturally occurring substances with a characteristic chemical composition that can be expressed by a formula.,Clays and other Earths; Mica; Asbestos; Crude Petroleum; Graphite.
9630,4,ADDITIVE METAL MATERIALS,1979-02-15,,Additive Metal Materials,Fuel Inhibiting Additives (FSC 6850).,"Only bulk material will be identified in this class.  Additive metal materials are those which are added to metals to improve their characteristics as required (e.g., lead added to steel to improve the machinability).","Alloying additives (Aluminum, Antimony, Copper, and Others)."
9640,4,IRON AND STEEL PRIMARY AND SEMIFINISHED PRODUCTS,2011-10-01,,Iron and Steel Primary and Semifinished Products,,"Only bulk material will be identified in this class.  a.  Primary products are raw unfinished ingots, pigs, that require refinement to be usable.  b.  Semi-finished items are primary products that have been refined to a state that requires further manufacturing processes to its final, usable state.",Ingots; Pigs; Billets; Blooms; Muck Bar; Rods for Wire; Sheet Bar; Skelp; Tube Rounds.
9650,4,NONFERROUS BASE METAL REFINERY AND INTERMEDIATE FORMS,2011-10-01,,Nonferrous Base Metal Refinery and Intermediate Forms,,"Only bulk material will be identified in this class.  a.  Refinery Forms are raw unfinished ingots, pigs, that require refinement to be usable.  b.  Intermediate forms are primary products that have been refined to a state that requires further manufacturing processes to its final, usable state.",Ingots; Slabs.
9660,4,PRECIOUS METALS PRIMARY FORMS,1979-05-15,,Precious Metals Primary Forms,,"Only bulk material will be identified in this class.  Primary Forms are raw unfinished ingots, pigs, that require refinement to be usable and are made of precious metals.",Bullion; Ingot.
9670,4,IRON AND STEEL SCRAP,1980-09-15,,Iron and Steel Scrap,,,
9680,4,NONFERROUS SCRAP,1981-03-15,,Nonferrous Scrap,,,
99,2,MISCELLANEOUS,1979-10-01,,,,,
9905,4,"SIGNS, ADVERTISING DISPLAYS, AND IDENTIFICATION PLATES",2011-10-01,,"Signs, Advertising Displays, and Identification Plates",,,"Electric Signs; Sign Boards; Display Stands;  Mannequins and other display forms; Printed Signs; General Purpose Identification Tags and Blanks, Nonpersonal; Plates  and Tags for specific applications."
9915,4,COLLECTORS' AND/OR HISTORICAL ITEMS,2011-10-01,,Collectors and/or Historical Items,,,"Antiques; Artifacts; Coins; Stamps; Rare Books; Work  of Art, Collectors and/or Historical Gems; Jewelry, and Cut Precious Stones; Natural History Items."
9920,4,SMOKERS' ARTICLES AND MATCHES,1979-07-15,,Smokers' Articles and Matches,Ash receivers and lighters specifically designed  for installation in or on equipment.,,Cigarette Lighters; Lighter Fluid; Pipe Reamers;  Ash Trays; Tobacco Humidors; Packaged Cigarette Paper.
9925,4,"ECCLESIASTICAL EQUIPMENT, FURNISHINGS, AND SUPPLIES",2011-10-01,,"Ecclesiastical Equipment, Furnishings, and Supplies",,,Vestments; Altars; Communion Sets;  Ecclesiastical Candelabra; Chalices; Patens; Altar Clothes;  Ecclesiastical Statuary; Sacramental Wine.
9930,4,MEMORIALS; CEMETERIAL AND MORTUARY EQUIPMENT AND SUPPLIES,2011-10-01,,Memorials; Cemeterial and Mortuary Equipment and Supplies,Hearses; Mortuary Refrigerators.,,Grave Markers; Burial Vaults; Burial Urns; Caskets; Burial Boxes; Morticians' Supplies; Monuments; Casket Shipping Cases.
9999,4,MISCELLANEOUS ITEMS,1978-10-15,,Miscellaneous Items,,,Only those items which cannot conceivably be  classified in any existing classes.
A,1,RESEARCH AND DEVELOPMENT,1979-10-01,,,,,
AA,2,AGRICULTURE R&D,1979-10-01,,,,,
AA1,3,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL ,,,,,,
AA11,4,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (BASIC RESEARCH),2011-10-01,,AGRICULTURE INSECT AND DISEASE CONTROL  - BASIC RESEARCH,,,
AA12,4,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,AGRICULTURE INSECT AND DISEASE CONTROL - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AA13,4,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (ADVANCED DEVELOPMENT),2011-10-01,,AGRICULTURE INSECT AND DISEASE CONTROL  - ADVANCED DEVELOPMENT,,,
AA14,4,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (ENGINEERING DEVELOPMENT),2011-10-01,,AGRICULTURE INSECT AND DISEASE CONTROL  - ENGINEERING DEVELOPMENT,,,
AA15,4,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,AGRICULTURE INSECT AND DISEASE CONTROL  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AA16,4,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (MANAGEMENT/SUPPORT),2011-10-01,,AGRICULTURE INSECT AND DISEASE CONTROL  - MANAGEMENT AND SUPPORT,,,
AA17,4,R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (COMMERCIALIZED),2011-10-01,,,,,
AA2,3,R&D- AGRICULTURE: MARKETING ,,,,,,
AA21,4,R&D- AGRICULTURE: MARKETING (BASIC RESEARCH),2011-10-01,,AGRICULTURE MARKETING  - BASIC RESEARCH,,,
AA22,4,R&D- AGRICULTURE: MARKETING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,AGRICULTURE MARKETING - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AA23,4,R&D- AGRICULTURE: MARKETING (ADVANCED DEVELOPMENT),2011-10-01,,AGRICULTURE MARKETING  - ADVANCED DEVELOPMENT,,,
AA24,4,R&D- AGRICULTURE: MARKETING (ENGINEERING DEVELOPMENT),2011-10-01,,AGRICULTURE MARKETING  - ENGINEERING DEVELOPMENT,,,
AA25,4,R&D- AGRICULTURE: MARKETING (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,AGRICULTURE MARKETING  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AA26,4,R&D- AGRICULTURE: MARKETING (MANAGEMENT/SUPPORT),2011-10-01,,AGRICULTURE MARKETING  - MANAGEMENT AND SUPPORT,,,
AA27,4,R&D- AGRICULTURE: MARKETING (COMMERCIALIZED),2011-10-01,,,,,
AA3,3,R&D- AGRICULTURE: PRODUCTION ,,,,,,
AA31,4,R&D- AGRICULTURE: PRODUCTION (BASIC RESEARCH),2011-10-01,,AGRICULTURE PRODUCTION  - BASIC RESEARCH,,,
AA32,4,R&D- AGRICULTURE: PRODUCTION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,AGRICULTURE PRODUCTION - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AA33,4,R&D- AGRICULTURE: PRODUCTION (ADVANCED DEVELOPMENT),2011-10-01,,AGRICULTURE PRODUCTION  - ADVANCED DEVELOPMENT,,,
AA34,4,R&D- AGRICULTURE: PRODUCTION (ENGINEERING DEVELOPMENT),2011-10-01,,AGRICULTURE PRODUCTION  - ENGINEERING DEVELOPMENT,,,
AA35,4,R&D- AGRICULTURE: PRODUCTION (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,AGRICULTURE PRODUCTION  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AA36,4,R&D- AGRICULTURE: PRODUCTION (MANAGEMENT/SUPPORT),2011-10-01,,AGRICULTURE PRODUCTION  - MANAGEMENT AND SUPPORT,,,
AA37,4,R&D- AGRICULTURE: PRODUCTION (COMMERCIALIZED),2011-10-01,,,,,
AA9,3,R&D- AGRICULTURE: OTHER ,,,,,,
AA91,4,R&D- AGRICULTURE: OTHER (BASIC RESEARCH),2011-10-01,,OTHER AGRICULTURE  - BASIC RESEARCH,,,
AA92,4,R&D- AGRICULTURE: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,OTHER AGRICULTURE - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AA93,4,R&D- AGRICULTURE: OTHER (ADVANCED DEVELOPMENT),2011-10-01,,OTHER AGRICULTURE  - ADVANCED DEVELOPMENT,,,
AA94,4,R&D- AGRICULTURE: OTHER (ENGINEERING DEVELOPMENT),2011-10-01,,OTHER AGRICULTURE  - ENGINEERING DEVELOPMENT,,,
AA95,4,R&D- AGRICULTURE: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,OTHER AGRICULTURE  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AA96,4,R&D- AGRICULTURE: OTHER (MANAGEMENT/SUPPORT),2011-10-01,,OTHER AGRICULTURE  - MANAGEMENT AND SUPPORT,,,
AA97,4,R&D- AGRICULTURE: OTHER (COMMERCIALIZED),2011-10-01,,,,,
AB,2,COMMUNITY SERVICE/DEVELOPMENT R&D,1979-10-01,,,,,
AB1,3,R&D- COMMUNITY SERVICE/DEVELOPMENT: CRIME PREVENTION/CONTROL ,,,,,,
AB11,4,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (BASIC RESEARCH),2011-10-01,,CRIME PREVENTION AND CONTROL  - BASIC RESEARCH,,,
AB12,4,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,CRIME PREVENTION AND CONTROL - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AB13,4,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (ADVANCED DEVELOPMENT),2011-10-01,,CRIME PREVENTION AND CONTROL  - ADVANCED DEVELOPMENT,,,
AB14,4,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (ENGINEERING DEVELOPMENT),2011-10-01,,CRIME PREVENTION AND CONTROL  - ENGINEERING DEVELOPMENT,,,
AB15,4,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,CRIME PREVENTION AND CONTROL  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AB16,4,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (MANAGEMENT/SUPPORT),2011-10-01,,CRIME PREVENTION AND CONTROL  - MANAGEMENT AND SUPPORT,,,
AB17,4,R&D- COMMUNITY SVC/DEVELOP: CRIME PREVENTION/CONTROL (COMMERCIALIZED),2011-10-01,,,,,
AB2,3,R&D- COMMUNITY SERVICE/DEVELOPMENT: FIRE PREVENTION/CONTROL ,,,,,,
AB21,4,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (BASIC RESEARCH),2011-10-01,,FIRE PREVENTION AND CONTROL  - BASIC RESEARCH,,,
AB22,4,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,FIRE PREVENTION AND CONTROL - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AB23,4,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (ADVANCED DEVELOPMENT),2011-10-01,,FIRE PREVENTION AND CONTROL  - ADVANCED DEVELOPMENT,,,
AB24,4,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (ENGINEERING DEVELOPMENT),2011-10-01,,FIRE PREVENTION AND CONTROL  - ENGINEERING DEVELOPMENT,,,
AB25,4,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,FIRE PREVENTION AND CONTROL  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AB26,4,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (MANAGEMENT/SUPPORT),2011-10-01,,FIRE PREVENTION AND CONTROL  - MANAGEMENT AND SUPPORT,,,
AB27,4,R&D- COMMUNITY SVC/DEVELOP: FIRE PREVENTION/CONTROL (COMMERCIALIZED),2011-10-01,,,,,
AB3,3,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL,,,,,,
AB31,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (BASIC RESEARCH),2011-10-01,,RURAL COMMUNITY SERVICES AND DEVELOPMENT  - BASIC RESEARCH,,,
AB32,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,RURAL COMMUNITY SERVICES AND DEVELOPMENT - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AB33,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (ADVANCED DEVELOPMENT),2011-10-01,,RURAL COMMUNITY SERVICES AND DEVELOPMENT  - ADVANCED DEVELOPMENT,,,
AB34,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (ENGINEERING DEVELOPMENT),2011-10-01,,RURAL COMMUNITY SERVICES AND DEVELOPMENT  - ENGINEERING DEVELOPMENT,,,
AB35,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,RURAL COMMUNITY SERVICES AND DEVELOPMENT  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AB36,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (MANAGEMENT/SUPPORT),2011-10-01,,RURAL COMMUNITY SERVICES AND DEVELOPMENT  - MANAGEMENT AND SUPPORT,,,
AB37,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: RURAL (COMMERCIALIZED),2011-10-01,,,,,
AB4,3,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN ,,,,,,
AB41,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (BASIC RESEARCH),2011-10-01,,URBAN COMMUNITY SERVICES AND DEVELOPMENT  - BASIC RESEARCH,,,
AB42,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,URBAN COMMUNITY SERVICES AND DEVELOPMENT - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AB43,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (ADVANCED DEVELOPMENT),2011-10-01,,URBAN COMMUNITY SERVICES AND DEVELOPMENT  - ADVANCED DEVELOPMENT,,,
AB44,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (ENGINEERING DEVELOPMENT),2011-10-01,,URBAN COMMUNITY SERVICES AND DEVELOPMENT  - ENGINEERING DEVELOPMENT,,,
AB45,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,URBAN COMMUNITY SERVICES AND DEVELOPMENT  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AB46,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (MANAGEMENT/SUPPORT),2011-10-01,,URBAN COMMUNITY SERVICES AND DEVELOPMENT  - MANAGEMENT AND SUPPORT,,,
AB47,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: URBAN (COMMERCIALIZED),2011-10-01,,,,,
AB9,3,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER ,,,,,,
AB91,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (BASIC RESEARCH),2011-10-01,,OTHER COMMUNITY SERVICES AND DEVELOPMENT  - BASIC RESEARCH,,,
AB92,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,OTHER COMMUNITY SERVICES AND DEVELOPMENT - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AB93,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (ADVANCED DEVELOPMENT),2011-10-01,,OTHER COMMUNITY SERVICES AND DEVELOPMENT  - ADVANCED DEVELOPMENT,,,
AB94,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (ENGINEERING DEVELOPMENT),2011-10-01,,OTHER COMMUNITY SERVICES AND DEVELOPMENT  - ENGINEERING DEVELOPMENT,,,
AB95,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,OTHER COMMUNITY SERVICES AND DEVELOPMENT  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AB96,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (MANAGEMENT/SUPPORT),2011-10-01,,OTHER COMMUNITY SERVICES AND DEVELOPMENT  - MANAGEMENT AND SUPPORT,,,
AB97,4,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (COMMERCIALIZED),2011-10-01,,,,,
AC,2,DEFENSE SYSTEMS R&D,1979-10-01,,,,,
AC1,3,R&D- DEFENSE SYSTEM: AIRCRAFT ,,,,,,
AC11,4,R&D- DEFENSE SYSTEM: AIRCRAFT (BASIC RESEARCH),2011-10-01,,DEFENSE AIRCRAFT  - BASIC RESEARCH,,,
AC12,4,R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,DEFENSE AIRCRAFT - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AC13,4,R&D- DEFENSE SYSTEM: AIRCRAFT (ADVANCED DEVELOPMENT),2011-10-01,,DEFENSE AIRCRAFT  - ADVANCED DEVELOPMENT,,,
AC14,4,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),2011-10-01,,DEFENSE AIRCRAFT  - ENGINEERING DEVELOPMENT,,,
AC15,4,R&D- DEFENSE SYSTEM: AIRCRAFT (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,DEFENSE AIRCRAFT  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AC16,4,R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT),2011-10-01,,DEFENSE AIRCRAFT  - MANAGEMENT AND SUPPORT,,,
AC17,4,R&D- DEFENSE SYSTEM: AIRCRAFT (COMMERCIALIZED),2011-10-01,,,,,
AC2,3,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS,,,,,,
AC21,4,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (BASIC RESEARCH),2011-10-01,,DEFENSE MISSILE AND SPACE SYSTEMS  - BASIC RESEARCH,,,
AC22,4,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,DEFENSE MISSILE AND SPACE SYSTEMS - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AC23,4,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT),2011-10-01,,DEFENSE MISSILE AND SPACE SYSTEMS  - ADVANCED DEVELOPMENT,,,
AC24,4,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT),2011-10-01,,DEFENSE MISSILE AND SPACE SYSTEMS  - ENGINEERING DEVELOPMENT,,,
AC25,4,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,DEFENSE MISSILE AND SPACE SYSTEMS  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AC26,4,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (MANAGEMENT/SUPPORT),2011-10-01,,DEFENSE MISSILE AND SPACE SYSTEMS  - MANAGEMENT AND SUPPORT,,,
AC27,4,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (COMMERCIALIZED),2011-10-01,,,,,
AC3,3,R&D- DEFENSE SYSTEM: SHIPS ,,,,,,
AC31,4,R&D- DEFENSE SYSTEM: SHIPS (BASIC RESEARCH),2011-10-01,,DEFENSE SHIPS  - BASIC RESEARCH,,,
AC32,4,R&D- DEFENSE SYSTEM: SHIPS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,DEFENSE SHIPS - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AC33,4,R&D- DEFENSE SYSTEM: SHIPS (ADVANCED DEVELOPMENT),2011-10-01,,DEFENSE SHIPS  - ADVANCED DEVELOPMENT,,,
AC34,4,R&D- DEFENSE SYSTEM: SHIPS (ENGINEERING DEVELOPMENT),2011-10-01,,DEFENSE SHIPS  - ENGINEERING DEVELOPMENT,,,
AC35,4,R&D- DEFENSE SYSTEM: SHIPS (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,DEFENSE SHIPS  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AC36,4,R&D- DEFENSE SYSTEM: SHIPS (MANAGEMENT/SUPPORT),2011-10-01,,DEFENSE SHIPS  - MANAGEMENT AND SUPPORT,,,
AC37,4,R&D- DEFENSE SYSTEM: SHIPS (COMMERCIALIZED),2011-10-01,,,,,
AC4,3,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE ,,,,,,
AC41,4,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (BASIC RESEARCH),2011-10-01,,DEFENSE TANK - AUTOMOTIVE  - BASIC RESEARCH,,,
AC42,4,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,DEFENSE TANK - AUTOMOTIVE - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AC43,4,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (ADVANCED DEVELOPMENT),2011-10-01,,DEFENSE TANK - AUTOMOTIVE  - ADVANCED DEVELOPMENT,,,
AC44,4,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (ENGINEERING DEVELOPMENT),2011-10-01,,DEFENSE TANK - AUTOMOTIVE  - ENGINEERING DEVELOPMENT,,,
AC45,4,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,DEFENSE TANK - AUTOMOTIVE  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AC46,4,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (MANAGEMENT/SUPPORT),2011-10-01,,DEFENSE TANK - AUTOMOTIVE  - MANAGEMENT AND SUPPORT,,,
AC47,4,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (COMMERCIALIZED),2011-10-01,,,,,
AC5,3,R&D- DEFENSE SYSTEM: WEAPONS ,,,,,,
AC51,4,R&D- DEFENSE SYSTEM: WEAPONS (BASIC RESEARCH),2011-10-01,,WEAPONS  - BASIC RESEARCH,,,
AC52,4,R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,WEAPONS - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AC53,4,R&D- DEFENSE SYSTEM: WEAPONS (ADVANCED DEVELOPMENT),2011-10-01,,WEAPONS  - ADVANCED DEVELOPMENT,,,
AC54,4,R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT),2011-10-01,,WEAPONS  - ENGINEERING DEVELOPMENT,,,
AC55,4,R&D- DEFENSE SYSTEM: WEAPONS (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,WEAPONS  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AC56,4,R&D- DEFENSE SYSTEM: WEAPONS (MANAGEMENT/SUPPORT),2011-10-01,,WEAPONS  - MANAGEMENT AND SUPPORT,,,
AC57,4,R&D- DEFENSE SYSTEM: WEAPONS (COMMERCIALIZED),2011-10-01,,,,,
AC6,3,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT ,,,,,,
AC61,4,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH),2011-10-01,,DEFENSE ELECTRONICS AND COMMUNICATION EQUIPMENT  - BASIC RESEARCH,,,
AC62,4,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,DEFENSE ELECTRONICS AND COMMUNICATION EQUIPMENT - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AC63,4,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT),2011-10-01,,DEFENSE ELECTRONICS AND COMMUNICATION EQUIPMENT  - ADVANCED DEVELOPMENT,,,
AC64,4,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT),2011-10-01,,DEFENSE ELECTRONICS AND COMMUNICATION EQUIPMENT  - ENGINEERING DEVELOPMENT,,,
AC65,4,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,DEFENSE ELECTRONICS AND COMMUNICATION EQUIPMENT  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AC66,4,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (MANAGEMENT/SUPPORT),2011-10-01,,DEFENSE ELECTRONICS AND COMMUNICATION EQUIPMENT  - MANAGEMENT AND SUPPORT,,,
AC67,4,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (COMMERCIALIZED),2011-10-01,,,,,
AC9,3,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS ,,,,,,
AC91,4,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (BASIC RESEARCH),2011-10-01,,MISCELLANEOUS DEFENSE HARD GOODS  - BASIC RESEARCH,,,
AC92,4,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2011-10-01,,MISCELLANEOUS DEFENSE HARD GOODS - APPLIED RESEARCH/EXPLORATORY DEVELOPMENT,,,
AC93,4,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ADVANCED DEVELOPMENT),2011-10-01,,MISCELLANEOUS DEFENSE HARD GOODS  - ADVANCED DEVELOPMENT,,,
AC94,4,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ENGINEERING DEVELOPMENT),2011-10-01,,MISCELLANEOUS DEFENSE HARD GOODS  - ENGINEERING DEVELOPMENT,,,
AC95,4,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (OPERATIONAL SYSTEMS DEVELOPMENT),2011-10-01,,MISCELLANEOUS DEFENSE HARD GOODS  - OPERATIONAL SYSTEMS DEVELOPMENT,,,
AC96,4,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (MANAGEMENT/SUPPORT),2011-10-01,,MISCELLANEOUS DEFENSE HARD GOODS  - MANAGEMENT AND SUPPORT,,,
AC97,4,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (COMMERCIALIZED),2011-10-01,,,,,
AD,2,DEFENSE (OTHER) R&D,1979-10-01,,,,,
AD1,3,R&D- DEFENSE OTHER: AMMUNITION ,,,,,,
